"External Links"
"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow"
"AHREF","https://fr.arthusbertrand.com/produit/bague-amazonite-et-argent-egerie-21223601xx","https://www.facebook.com/ArthusBertrandparis/","1627335","","Suivez-nous sur Facebook","200","OK","true"
"AHREF","https://fr.arthusbertrand.com/produit/bague-amazonite-et-argent-egerie-21223601xx","https://www.pinterest.fr/arthus_bertrand/","305959","","Suivez-nous sur Pinterest","200","OK","true"
"AHREF","https://fr.arthusbertrand.com/produit/bague-amazonite-et-argent-egerie-21223601xx","https://twitter.com/arthusbertrand_","378706","","Suivez-nous sur Twitter","200","OK","true"
"AHREF","https://fr.arthusbertrand.com/produit/bague-amazonite-et-argent-egerie-21223601xx","https://plus.google.com/+ArthusbertrandFrOfficiel","614545","","Suivez-nous sur Google+","200","OK","true"
"AHREF","https://fr.arthusbertrand.com/produit/bague-amazonite-et-argent-egerie-21223601xx","https://www.instagram.com/arthusbertrand/","80514","","Suivez-nous sur Instagram+","200","OK","true"
"AHREF","https://fr.arthusbertrand.com/produit/bague-amazonite-et-argent-egerie-21223601xx","https://www.arthus-bertrand.fr/collections/collection-argent/collection-deauville?mip=manchette-deauville&mic=BlocMenu","0","","","301","Moved Permanently","true"
"AHREF","https://fr.arthusbertrand.com/produit/bague-amazonite-et-argent-egerie-21223601xx","https://medailles.arthusbertrand.com/","66130","","La Naissance","200","OK","true"
"AHREF","https://fr.arthusbertrand.com/produit/bague-amazonite-et-argent-egerie-21223601xx","https://decorations.arthus-bertrand.fr/","75118","","Les décorations","200","OK","true"
"AHREF","https://fr.arthusbertrand.com/produit/bague-amazonite-et-argent-egerie-21223601xx","https://medailles.arthusbertrand.com/","66130","","La Naissance","200","OK","true"
"AHREF","https://fr.arthusbertrand.com/produit/bague-amazonite-et-argent-egerie-21223601xx","https://decorations.arthus-bertrand.fr/","75118","","Les décorations","200","OK","true"
"AHREF","https://fr.arthusbertrand.com/produit/bague-amazonite-et-argent-egerie-21223601xx","https://www.facebook.com/ArthusBertrandparis/","1627335","","Suivez-nous sur Facebook","200","OK","true"
"AHREF","https://fr.arthusbertrand.com/produit/bague-amazonite-et-argent-egerie-21223601xx","https://twitter.com/ArthusBertrand_","378706","","Suivez-nous sur Twitter","200","OK","true"
"AHREF","https://fr.arthusbertrand.com/produit/bague-amazonite-et-argent-egerie-21223601xx","https://www.instagram.com/arthusbertrand/","80514","","Suivez-nous sur Instagram","200","OK","true"
"AHREF","https://fr.arthusbertrand.com/produit/bague-amazonite-et-argent-egerie-21223601xx","https://www.pinterest.com/arthus_bertrand/","307258","","Suivez-nous sur Pinterest","200","OK","true"
"AHREF","https://fr.arthusbertrand.com/produit/bracelet-de-motif-croix-or-jaune-750-3251321495","https://www.facebook.com/ArthusBertrandparis/","1627335","","Suivez-nous sur Facebook","200","OK","true"
"AHREF","https://fr.arthusbertrand.com/produit/bracelet-de-motif-croix-or-jaune-750-3251321495","https://www.pinterest.fr/arthus_bertrand/","305959","","Suivez-nous sur Pinterest","200","OK","true"
"AHREF","https://fr.arthusbertrand.com/produit/bracelet-de-motif-croix-or-jaune-750-3251321495","https://twitter.com/arthusbertrand_","378706","","Suivez-nous sur Twitter","200","OK","true"
"AHREF","https://fr.arthusbertrand.com/produit/bracelet-de-motif-croix-or-jaune-750-3251321495","https://plus.google.com/+ArthusbertrandFrOfficiel","614545","","Suivez-nous sur Google+","200","OK","true"
"AHREF","https://fr.arthusbertrand.com/produit/bracelet-de-motif-croix-or-jaune-750-3251321495","https://www.instagram.com/arthusbertrand/","80514","","Suivez-nous sur Instagram+","200","OK","true"
"AHREF","https://fr.arthusbertrand.com/produit/bracelet-de-motif-croix-or-jaune-750-3251321495","https://www.arthus-bertrand.fr/collections/collection-argent/collection-deauville?mip=manchette-deauville&mic=BlocMenu","0","","","301","Moved Permanently","true"
"AHREF","https://fr.arthusbertrand.com/produit/bracelet-de-motif-croix-or-jaune-750-3251321495","https://medailles.arthusbertrand.com/","66130","","La Naissance","200","OK","true"
"AHREF","https://fr.arthusbertrand.com/produit/bracelet-de-motif-croix-or-jaune-750-3251321495","https://decorations.arthus-bertrand.fr/","75118","","Les décorations","200","OK","true"
"AHREF","https://fr.arthusbertrand.com/produit/bracelet-de-motif-croix-or-jaune-750-3251321495","https://medailles.arthusbertrand.com/","66130","","La Naissance","200","OK","true"
"AHREF","https://fr.arthusbertrand.com/produit/bracelet-de-motif-croix-or-jaune-750-3251321495","https://decorations.arthus-bertrand.fr/","75118","","Les décorations","200","OK","true"
"AHREF","https://fr.arthusbertrand.com/produit/bracelet-de-motif-croix-or-jaune-750-3251321495","https://www.facebook.com/ArthusBertrandparis/","1627335","","Suivez-nous sur Facebook","200","OK","true"
"AHREF","https://fr.arthusbertrand.com/produit/bracelet-de-motif-croix-or-jaune-750-3251321495","https://twitter.com/ArthusBertrand_","378706","","Suivez-nous sur Twitter","200","OK","true"
"AHREF","https://fr.arthusbertrand.com/produit/bracelet-de-motif-croix-or-jaune-750-3251321495","https://www.instagram.com/arthusbertrand/","80514","","Suivez-nous sur Instagram","200","OK","true"
"AHREF","https://fr.arthusbertrand.com/produit/bracelet-de-motif-croix-or-jaune-750-3251321495","https://www.pinterest.com/arthus_bertrand/","307258","","Suivez-nous sur Pinterest","200","OK","true"
